Word,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
virus,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,0.0116570706916279,1.9517149103508115e-05,0.011946111534801795,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.009093943109824112,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.007631003953681086,0.009233398236250898,1.435502223905932e-05,8.598860732124434e-06,0.023156565537805398,2.920853476246884e-05
numbers,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.0008845985665694703,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
cdc,0.007325110718177545,4.266003831735725e-05,0.011588156580403774,0.0010284400840490466,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
vaers,2.88089454800339e-05,4.266003831735725e-05,0.01809365140754484,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.0016323360245063079,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
information,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,0.0026636140236765624,1.9517149103508115e-05,0.0011171065620545833,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
thing,2.88089454800339e-05,4.266003831735725e-05,0.0029141634775490203,0.0032768042510368813,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,0.007478190225509053,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
actual_covid-19_virus,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,0.00021085311423528879,1.9517149103508115e-05,0.0011171065620545833,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
absolutely,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,0.008182326069919428,1.9517149103508115e-05,3.4206064779861906e-05,0.0013894446460108335,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,0.010588032189764122,2.5755273906771714e-05,2.3547315651535346e-05,0.005724411126888673,2.9074112351899868e-05,1.435502223905932e-05,0.004091958327572503,2.2144162638940886e-05,2.920853476246884e-05
dangerous,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,0.010839483721814142,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.0019112254733038465,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
opening,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,0.0010888088427602896,2.5755273906771714e-05,2.3547315651535346e-05,0.00015129363318777298,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
trial,0.0036769598318287895,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.0035244963267435808,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
high,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.011040449305993972,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,0.009135704098310576,2.920853476246884e-05
catching,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.0029300068219528822,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
transmitting,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.0013079183251446644,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
absolutely_dangerous_opening,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,0.0002808228251881497,2.2144162638940886e-05,2.920853476246884e-05
high_risk,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.005200930717484388,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
strongly,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,0.0012552705516414508,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.011150867633913233,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
oppose,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.01379076539408734,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
mandates,0.004588997553415978,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,0.0067770427470675975,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.007924325927033765,2.9074112351899868e-05,1.435502223905932e-05,0.02859211512861477,2.2144162638940886e-05,2.920853476246884e-05
government,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,0.01048792704230453,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,0.04301998524478411,2.2144162638940886e-05,2.920853476246884e-05
overreach,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,0.003003062469748402,2.2144162638940886e-05,2.920853476246884e-05
lives,0.001852884388654412,4.266003831735725e-05,2.2832443264102775e-05,0.001641630311409365,0.004962530759255278,3.4206064779861906e-05,4.254512074664245e-05,0.007442307520617299,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,0.0031997473643166972,0.0032872118723880584,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
america,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,0.002200007059329305,4.254512074664245e-05,0.007442307520617299,0.0027812977141242934,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,0.004091958327572503,2.2144162638940886e-05,0.011125464250526046
communist,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,0.007442307520617299,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,0.000553046789644175,2.2144162638940886e-05,2.920853476246884e-05
russia,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,0.0002808228251881497,2.2144162638940886e-05,2.920853476246884e-05
stop,0.03924643097372916,4.266003831735725e-05,2.2832443264102775e-05,0.023716478496380825,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,0.03088619257997475,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.013204121447381987,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
madness,0.015533450212462246,4.266003831735725e-05,2.2832443264102775e-05,0.006342755387838473,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,0.0012728640839442865,0.01099545865944174,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,0.0002808228251881497,2.2144162638940886e-05,2.920853476246884e-05
