Word,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
covid-19,9.886966502113124e-06,0.017807033202997032,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,0.007399571395690345,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,2.611459009498827e-06,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,0.03392158636971355,5.0464862852803215e-05,0.09265243247429374,0.024047695370844148,0.0156537234297003,2.588794451340505e-05,3.8684890294664926e-05,0.0026766687915307638,0.009862529744790613
vaccination,9.886966502113124e-06,0.016799516378723848,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,0.01574418376511417,2.338946543431888e-05,5.668384616656473e-05,0.02403625813973219,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,0.013202695601323245,2.611459009498827e-06,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
needed,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,0.0015088767514529916,2.9749176184637896e-05,2.4561974778194683e-05,0.0039019741345634774,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
harm,9.886966502113124e-06,0.019822066851543408,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,0.014889405342845479,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,2.611459009498827e-06,2.9749176184637896e-05,0.0022041187187401587,2.9096291607985128e-05,0.011472452648462304,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,0.0022895159399182615,0.0015525522547162314,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
actual,9.886966502113124e-06,0.0063885091945675805,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,2.611459009498827e-06,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,0.001283599917605644,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,0.0013532483545254477,2.0166558844903218e-05
virus,9.886966502113124e-06,0.03023307403569967,3.345889244966208e-05,0.0027235255941467753,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,0.02632297133895387,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,0.007881537604098536,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,0.011353434402358397,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
numbers,9.886966502113124e-06,0.001350925073201646,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,0.0029847778389006548,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,2.611459009498827e-06,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
cdc,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,2.611459009498827e-06,0.018508724387360297,2.4561974778194683e-05,2.9096291607985128e-05,0.009183121927852523,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,0.008434288521848493,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
vaers,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,2.611459009498827e-06,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,0.0343657598545601,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
information,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,0.007696903419380884,6.916584307154886e-06,0.0011612770685814164,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
