Word,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
validity,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,0.0005146983515320145,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
long,2.2534498470744995e-05,7.675263631602553e-06,0.08038080040330492,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
term,2.2534498470744995e-05,0.0001345560415857882,0.07438331619236688,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
success,0.00039505521359027855,7.675263631602553e-06,1.4511976735181967e-05,0.0005146983515320145,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
early,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,0.0046929100223079105,0.0014606294953911653,2.319107429487962e-05,0.0004562229496818346
process,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,0.005853430015522797,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,0.0004065657294678988,1.3393795945639651e-05
agree,0.0007675759287098121,7.675263631602553e-06,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.003705620185685205,2.319107429487962e-05,1.3393795945639651e-05
required,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.002385037426688711,2.319107429487962e-05,0.0002348083728137371
covid_vaccine,2.2534498470744995e-05,0.002291529266806944,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.01743968087924874,2.319107429487962e-05,1.3393795945639651e-05
long_term_success,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,0.0005146983515320145,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
required_vaccine,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,0.0005146983515320145,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
infected,0.0007675759287098121,0.0007689599313567165,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
risk,2.2534498470744995e-05,0.04911053633190145,0.014648373451424,0.001485376835893975,3.077820716651322e-05,0.026922659885872217,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
